,Lat,Lon,Ispark,Full_name,URL,freq_count2
326,60.75,-139.5,True,Kluane National Park and Reserve,https://www.google.com/maps/place/?q=place_id:ChIJg4PhzfUhrVYRSoSU7KO-MBA,3
329,52.664437,-117.8837673,False,Athabasca Falls,https://www.google.com/maps/place/?q=place_id:ChIJw5zvm5HNglMR5mvj7vL9PlQ,1
332,44.8975398,-77.20866939999999,True,Bon Echo Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJDyJ46POg00wRGy7EmvK-jkI,1
342,52.14638,-131.0765649,False,Rose Harbour,https://www.google.com/maps/place/?q=place_id:ChIJM9kTjsGxblQRlgejuXtmCEA,1
345,49.9166667,-122.75,True,Garibaldi Park,https://www.google.com/maps/place/?q=place_id:ChIJF1JD3FLfhlQRiiot7pJX8a0,7
347,51.5000595,-116.4741267,False,British Columbia,https://www.google.com/maps/place/?q=place_id:ChIJDUphg0tid1MR62iSiRhXJK0,6
357,43.6282065,-79.41548,True,Ontario Place,https://www.google.com/maps/place/?q=place_id:ChIJCTljwA41K4gRj1c_zgCaN1k,2
359,49.9286025,-119.5118533,True,Bear Creek Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJZQcW5JHzfVMRvomDoF7Xu-I,2
360,49.9752777,-123.0427777,False,The Black Tusk,https://www.google.com/maps/place/?q=place_id:ChIJEzTk-Lweh1QRN6RbS399zwg,2
364,43.1393867,-80.2644254,False,Brantford,https://www.google.com/maps/place/?q=place_id:ChIJD3PqeOJlLIgR4PlmpKWlPTU,2
368,49.102781,-122.874554,False,Panorama Ridge,https://www.google.com/maps/place/?q=place_id:ChIJ3bXSdI_bhVQRSYb2vV5MpCA,2
371,53.1355091,-57.6604364,False,Newfoundland and Labrador,https://www.google.com/maps/place/?q=place_id:ChIJD_AvfcKjDEsRqDl21bOd7GQ,12
373,49.8382655,-125.618484,True,Strathcona Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJXc2JPMWbYlQRezRHevKE-Rc,2
374,50.6872193,-122.1057702,False,Seton Lake,https://www.google.com/maps/place/?q=place_id:ChIJcWvd6f-OgFQRbaJrJGBIQuU,2
375,50.6667037,-123.6211371,True,Upper Lillooet Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJ3-nvKR_ufVQR4aB3FP9adb0,2
376,51.5097741,-116.523968,False,Iceline Trail,https://www.google.com/maps/place/?q=place_id:ChIJ-SeJP0Jid1MRX7NdgwW6htU,2
378,44.95772669999999,-64.47112299999999,False,Trout River Pond,https://www.google.com/maps/place/?q=place_id:ChIJmTtlXQFNWEsRgIJ7AwT260o,2
379,48.5930342,-86.2933777,True,Pukaskwa National Park,https://www.google.com/maps/place/?q=place_id:ChIJm0cbnFsiRE0RZAlmNHsqfJQ,2
386,45.7026471,-82.0371761,False,Manitoulin Island,https://www.google.com/maps/place/?q=place_id:ChIJ4VHYfpo7Mk0RQmOvUCGhtK4,2
392,51.4666667,-116.5833333,True,Yoho National Park Of Canada,https://www.google.com/maps/place/?q=place_id:ChIJUxBJITveeVMRdW-P2NvpnPI,29
393,43.7844397,-88.7878678,False,Wisconsin,https://www.google.com/maps/place/?q=place_id:ChIJr-OEkw_0qFIR1kmG-LjV1fI,2
394,45.0522366,-82.4846115,False,The Great Lakes,https://www.google.com/maps/place/?q=place_id:ChIJcVWbVc5jRU0Rm6yMnkWKaFc,2
395,45.75830819999999,-76.78725299999999,True,Ottawa River Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJdVIDnEht0UwR86gHU5sYzTo,2
398,46.43669,-62.642688,False,Greenwich,https://www.google.com/maps/place/?q=place_id:ChIJ_wbNPFg6XksRCgnv4_8gHMQ,2
